Date,Total-Cumulative-Cases,ObjectId,New-Cases,PCR,Recovered,Deaths,Daily-Positive-%age,Country,RDT,Local Transmissions,Imported Cases,GlobalID,Cum-Deaths,Cum-Recovery,CFR%
4/16/2020 12:00:00 AM,23,184,,,,,,,,,,afcdf38e-97f7-4dba-89d6-b7ad2e706322,3,2,
4/17/2020 12:00:00 AM,24,185,,,,,,,,,,2f09adb0-0e0a-4163-8245-ab962dd32d17,3,2,
4/18/2020 12:00:00 AM,24,186,,,,,,,,,,e6e3abe2-98a9-4c2a-880d-fa54690a25f3,3,2,
4/19/2020 12:00:00 AM,24,187,,,,,,,,,,2d4be8d6-362d-4e90-ac08-aa151ae06e8b,3,2,
4/20/2020 12:00:00 AM,27,188,,,,,,,,,,5937089c-5732-488e-87f2-27605e4ade05,3,2,
4/21/2020 12:00:00 AM,28,189,,,,,,,,,,d3026364-8210-4d15-87a5-0d927661714a,3,2,
4/22/2020 12:00:00 AM,28,190,,,,,,,,,,38132a87-5e25-4314-babf-76c34ec5b2ec,4,2,
4/23/2020 12:00:00 AM,28,191,,,,,,,,,,02e5064f-518f-448c-9c40-fe70ebdb03bb,4,2,
4/24/2020 12:00:00 AM,31,192,,,,,,,,,,4e27c65a-690a-4140-8264-55bc07a7151e,4,2,
4/25/2020 12:00:00 AM,31,193,,,,,,,,,,fe1b5f6b-d411-46e8-aa64-addde34997a2,4,2,
4/26/2020 12:00:00 AM,32,194,,,,,,,,,,fe7437cd-ca90-484e-85b8-2e8483da2431,4,5,
4/27/2020 12:00:00 AM,32,195,,,,,,,,,,b2dfeb2b-1268-4360-bc3f-df94b008d1c6,4,5,
4/28/2020 12:00:00 AM,32,196,,,,,,,,,,bb62114e-28f1-43f6-b7dd-c012bd614747,4,5,
4/29/2020 12:00:00 AM,34,197,,,,,,,,,,ac46cf25-4216-4b48-ac60-f46a1957da14,4,5,
4/30/2020 12:00:00 AM,34,198,,,,,,,,,,6040dffb-2b6f-44e9-a39a-994cad942461,4,5,
5/1/2020 12:00:00 AM,34,199,,,,,,,,,,06c71485-b30d-477e-9925-478841f35781,4,5,
5/2/2020 12:00:00 AM,34,200,,,,,,,,,,b5094dfe-4fe7-4706-a076-46e50433fe38,4,5,
5/3/2020 12:00:00 AM,34,201,,,,,,,,,,8b627eb2-3ec9-40a6-ba6d-02a4bc695243,4,5,
5/4/2020 12:00:00 AM,34,202,,,,,,,,,,15e98825-5754-46bd-9515-de84e7091494,4,5,
5/5/2020 12:00:00 AM,34,203,,,,,,,,,,fcdf83f9-f797-48af-8b8b-a6dd029ac910,4,5,
5/6/2020 12:00:00 AM,34,204,,,,,,,,,,023e2d81-9d09-4cd3-888d-4774d1026845,4,5,
5/7/2020 12:00:00 AM,34,205,,,,,,,,,,115e1726-0997-43b9-9dd2-5010038d393a,4,9,
5/8/2020 12:00:00 AM,35,206,,,,,,,,,,1ef69af6-a7ff-4774-8bd5-51b271ad37c3,4,9,
5/9/2020 12:00:00 AM,36,207,,,,,,,,,,698a5895-bb9d-4803-8a0a-023e6a6065a4,4,9,
8/22/2020 12:00:00 AM,5893,208,78,1001,42,1,7.79220779220779,,,78,0,448f18a4-f0af-4886-a9c9-b4523c0a7332,153,4629,
